# det nr	max range e_rec (MeV)	par N	par x	par x^2	par x^3	par x^4
0	445	1.00554	0.000293147	-1.45111e-06	3.71121e-09	-4.27844e-12
1	475	1.00554	0.000293147	-1.45111e-06	3.71121e-09	-4.27844e-12
2	495	1.00846	0.000157442	-3.92653e-07	5.41103e-10	-9.02999e-13
3	445	1.00349	0.000360167	-2.12482e-06	6.70376e-09	-8.40803e-12
4	465	1.00139	0.000440536	-2.90062e-06	9.08963e-09	-1.04931e-11
5	495	1.00039	0.000320604	-1.56644e-06	3.94857e-09	-4.10211e-12
6	505	1.00498	0.00024915	-1.00575e-06	2.22068e-09	-2.25112e-12
7	515	1.00716	0.000176996	-5.22428e-07	8.74081e-10	-8.84053e-13
8	525	1.00718	0.000176897	-5.02081e-07	5.64148e-10	-3.75941e-13
9	545	1.00231	0.000277103	-1.21832e-06	2.44191e-09	-1.986e-12
10	575	1.00785	9.10159e-05	3.11607e-08	-7.23496e-10	7.01335e-13
11	565	1.00273	0.000247063	-1.0203e-06	2.2594e-09	-2.21069e-12
12	565	1.00796	8.13602e-05	2.9746e-07	-1.6033e-09	1.48071e-12
13	605	1.00697	0.000113717	-2.28171e-07	1.00232e-10	-9.90866e-14
14	605	1.00716	9.92594e-05	5.31653e-09	-6.84702e-10	6.71866e-13
15	625	1.006	0.000121151	-2.87418e-07	3.65297e-10	-4.1467e-13
16	675	1.00894	0.000149933	-5.92561e-07	1.10815e-09	-9.33911e-13
17	0	1.00000	0.00000	0.00000	0.00000	0.00000
18	785	1.00743	0.000137986	-4.55395e-07	6.36535e-10	-4.09705e-13
19	695	1.00909	0.000110083	-1.79483e-07	-1.47466e-10	1.97011e-13
20	725	1.00616	8.08952e-05	-2.73769e-08	-3.91935e-10	3.17948e-13
21	825	1.00364	8.64582e-05	-9.2014e-08	-1.45987e-10	1.53532e-13
22	805	1.00331	0.000122149	-2.76667e-07	1.22386e-10	3.85079e-14
23	855	1.00442	7.62374e-05	-9.2103e-08	-1.18702e-10	1.16025e-13
24	905	1.0043	7.73345e-05	-1.43805e-07	-4.4452e-12	6.92406e-14
25	955	1.00606	6.76866e-05	-1.45424e-07	8.26754e-11	-2.74297e-14
26	0	1.00000	0.00000	0.00000	0.00000	0.00000
27	0	1.00000	0.00000	0.00000	0.00000	0.00000
28	0	1.00000	0.00000	0.00000	0.00000	0.00000
29	0	1.00000	0.00000	0.00000	0.00000	0.00000
30	0	1.00000	0.00000	0.00000	0.00000	0.00000
31	0	1.00000	0.00000	0.00000	0.00000	0.00000
32	0	1.00000	0.00000	0.00000	0.00000	0.00000
33	0	1.00000	0.00000	0.00000	0.00000	0.00000
34	0	1.00000	0.00000	0.00000	0.00000	0.00000
35	0	1.00000	0.00000	0.00000	0.00000	0.00000
36	0	1.00000	0.00000	0.00000	0.00000	0.00000
37	0	1.00000	0.00000	0.00000	0.00000	0.00000
38	0	1.00000	0.00000	0.00000	0.00000	0.00000
39	905	1.00408	6.15744e-05	-1.28223e-07	8.56895e-11	-3.65293e-14
40	0	1.00000	0.00000	0.00000	0.00000	0.00000
41	955	1.00342	7.36839e-05	-2.26062e-07	2.45431e-10	-1.20072e-13
42	995	1.00279	5.13051e-05	-7.70678e-08	-2.78377e-11	1.66433e-14
43	935	1.00243	6.64224e-05	-1.17992e-07	-3.08867e-11	6.94354e-14
44	895	1.00071	8.78889e-05	-2.00246e-07	1.21006e-10	-4.13364e-14
45	835	1.00148	8.17071e-05	-1.93493e-07	1.16242e-10	-3.75038e-14
46	795	1.00131	8.92817e-05	-2.11457e-07	1.33879e-10	-4.46746e-14
47	735	1.00308	6.17651e-05	-3.40003e-08	-2.75876e-10	2.15103e-13
48	445	1.01106	9.54007e-05	2.11265e-07	-1.19269e-09	6.8244e-13
49	465	1.0029	0.000343221	-1.83621e-06	5.01026e-09	-5.63639e-12
50	515	1.00795	0.000200654	-7.80308e-07	1.98763e-09	-2.43695e-12
51	445	1.00779	0.000222194	-7.8851e-07	1.5994e-09	-1.86122e-12
52	465	1.00356	0.000340435	-1.92856e-06	5.3604e-09	-5.94008e-12
53	515	1.00369	0.000262585	-1.02148e-06	2.19996e-09	-2.3541e-12
54	495	1.00764	0.000248104	-1.4634e-06	4.40025e-09	-5.07302e-12
55	485	1.00561	0.000221525	-7.86102e-07	1.28378e-09	-1.08458e-12
56	545	1.00276	0.000263804	-1.10116e-06	2.24564e-09	-1.98637e-12
57	555	1.00681	0.00014576	-3.47509e-07	2.97466e-10	-2.88086e-13
58	625	1.00509	0.000164447	-4.68475e-07	5.79661e-10	-4.70189e-13
59	535	1.00723	0.000129326	-1.89951e-07	-3.41441e-10	4.57297e-13
60	565	1.00763	0.000141832	-4.89806e-07	1.09906e-09	-1.31179e-12
61	615	1.00506	0.000120409	-3.83505e-08	-8.8141e-10	9.97625e-13
62	615	1.00687	0.0001174	-2.25173e-07	1.55974e-10	-2.32086e-13
63	625	1.00412	0.000148379	-3.93131e-07	3.87171e-10	-2.58646e-13
64	655	1.00255	0.000187947	-8.19695e-07	1.64901e-09	-1.33454e-12
65	685	1.00509	8.88304e-05	-6.90097e-08	-2.98499e-10	2.57697e-13
66	775	1.0042	9.47128e-05	-2.19316e-07	1.34173e-10	-5.03663e-14
67	665	1.00527	0.000109259	-2.00203e-07	1.01339e-11	2.71392e-14
68	675	1.00394	0.000137545	-3.94437e-07	4.16694e-10	-2.51382e-13
69	825	1.00424	9.50675e-05	-2.02528e-07	4.22406e-11	4.11691e-14
70	755	1.00497	0.00014278	-4.758e-07	5.98019e-10	-3.71319e-13
71	785	1.00243	0.00020316	-9.11658e-07	1.56488e-09	-1.05386e-12
72	925	1.00699	0.000125151	-4.18995e-07	4.25284e-10	-1.94806e-13
73	945	1.00572	7.64158e-05	-1.74225e-07	3.70355e-11	2.10515e-14
74	945	1.00551	5.64092e-05	-9.85923e-08	-2.58838e-11	4.24057e-14
75	845	1.00479	7.53426e-05	-1.67577e-07	9.37716e-12	6.17968e-14
76	815	1.00348	8.81057e-05	-2.41375e-07	2.39558e-10	-1.44399e-13
77	955	1.004	4.9817e-05	-5.37297e-08	-1.00086e-10	8.01234e-14
78	855	1.00316	7.9145e-05	-1.49245e-07	1.50645e-11	2.65025e-14
79	805	1.00384	8.01401e-05	-2.23685e-07	2.19325e-10	-1.43448e-13
80	955	1.0042	5.94642e-05	-1.12099e-07	2.32168e-11	1.17741e-14
81	915	1.00161	8.06756e-05	-1.83423e-07	8.16442e-11	5.13456e-15
82	915	1.00207	7.38473e-05	-1.7554e-07	1.14557e-10	-4.11384e-14
83	835	1.00319	7.94694e-05	-2.17182e-07	1.94835e-10	-9.954e-14
84	765	1.00439	6.60152e-05	-6.59383e-08	-2.55928e-10	2.30183e-13
85	795	1.00232	7.54827e-05	-1.65322e-07	9.80036e-11	-5.62619e-14
86	795	1.00226	8.83013e-05	-2.4241e-07	2.47926e-10	-1.77646e-13
87	685	1.00256	9.01041e-05	-1.79461e-07	-3.79255e-11	9.18812e-14
88	825	1.00071	0.00010296	-2.77231e-07	2.05665e-10	-5.99464e-14
89	715	1.00358	3.48427e-05	3.92873e-08	-3.11967e-10	1.97934e-13
90	685	1.00258	7.10758e-05	-8.91995e-08	-1.52387e-10	7.01714e-14
91	695	1.00457	3.91637e-05	9.04535e-08	-4.88915e-10	2.97762e-13
92	615	1.00105	0.000142988	-5.89289e-07	1.13139e-09	-9.31754e-13
93	635	1.00141	0.000112049	-3.12471e-07	3.7598e-10	-3.35012e-13
94	605	1.00134	0.000126759	-3.66674e-07	3.45116e-10	-1.98764e-13
95	545	1.00285	0.000105672	-2.52263e-07	1.74923e-10	-1.78959e-13
96	445	1.00522	0.0002931	-1.61608e-06	5.07576e-09	-6.70496e-12
97	465	1.00239	0.000322951	-1.6431e-06	4.41846e-09	-5.03691e-12
98	475	1.01032	0.000103685	-6.07739e-08	-3.77827e-10	2.55314e-13
99	465	1.01056	0.00017941	-8.5275e-07	2.14774e-09	-2.77396e-12
100	445	1.00473	0.000344298	-2.32469e-06	7.61317e-09	-9.43626e-12
101	525	1.00889	0.00020143	-1.06087e-06	3.25223e-09	-4.19299e-12
102	485	1.00747	0.000168096	-4.17888e-07	4.29304e-10	-7.03368e-13
103	505	1.00319	0.000251341	-1.00535e-06	2.05089e-09	-2.29786e-12
104	535	1.00287	0.00026756	-1.26319e-06	3.01515e-09	-3.05779e-12
105	545	1.00774	0.000168003	-6.85322e-07	1.58798e-09	-1.76598e-12
106	585	1.00319	0.0002139	-9.5189e-07	2.14196e-09	-2.05779e-12
107	525	1.00523	0.000208834	-8.85038e-07	2.14382e-09	-2.5419e-12
108	515	1.00906	9.23872e-05	7.46594e-08	-9.51815e-10	7.65047e-13
