module nr	max range e_rec (MeV)	par N	par x	par x^2	par x^3	par x^4
0	580	1.03469	-0.000617587	3.60778e-06	-8.50141e-09	6.80633e-12	
1	820	1.06198	-0.000683001	2.32096e-06	-3.68532e-09	2.13435e-12	
2	900	1.06091	-0.000580723	1.67323e-06	-2.32432e-09	1.19961e-12	
3	580	1.03015	-0.000490959	2.53687e-06	-5.4799e-09	4.09356e-12	
4	860	1.05443	-0.00053152	1.64328e-06	-2.38022e-09	1.24863e-12	
5	860	1.05286	-0.000647391	2.39586e-06	-3.8205e-09	2.11025e-12	
6	580	1.03542	-0.0005789	3.01084e-06	-6.70101e-09	5.23703e-12	
7	700	1.04806	-0.000565502	2.16871e-06	-3.69556e-09	2.21314e-12	
8	620	1.04809	-0.000814122	4.40319e-06	-9.74897e-09	7.35656e-12	
9	420	1.03558	-0.000789804	5.78061e-06	-1.77324e-08	1.89547e-11	
10	460	1.03578	-0.000698344	4.54756e-06	-1.24647e-08	1.15603e-11	
11	580	1.05235	-0.000855064	4.55322e-06	-1.00803e-08	7.55517e-12	
12	340	1.01801	-0.000528837	5.07441e-06	-2.0135e-08	2.84623e-11	
13	420	1.03776	-0.000766089	5.35679e-06	-1.59016e-08	1.60461e-11	
14	500	1.04182	-0.000725113	4.09821e-06	-1.01743e-08	8.91065e-12	
15	300	1.03182	-0.00103887	1.10527e-05	-5.07816e-08	8.27137e-11	
16	340	1.05465	-0.00131	1.08949e-05	-4.07617e-08	5.44478e-11	
17	460	1.03834	-0.000855219	6.04732e-06	-1.78184e-08	1.78862e-11	
18	340	1.0251	-0.000776878	7.52085e-06	-2.92206e-08	3.84568e-11	
19	260	1.05424	-0.00174369	1.855e-05	-8.97025e-08	1.5558e-10	
20	300	1.03799	-0.00086054	5.7457e-06	-1.65575e-08	1.63509e-11	
21	340	1.02209	-0.000680098	6.08547e-06	-2.27861e-08	3.05672e-11	
22	-10	0	0	0	0	0	
23	340	1.03108	-0.000803381	6.15937e-06	-2.07668e-08	2.50636e-11	
24	300	1.02313	-0.000683255	6.73642e-06	-3.01183e-08	4.90846e-11	
25	260	1.04984	-0.00135834	8.59162e-06	-1.78579e-08	1.90905e-12	
26	380	1.03705	-0.000994109	8.53657e-06	-3.15051e-08	4.07516e-11	
27	420	1.02605	-0.00058025	4.39963e-06	-1.3942e-08	1.50153e-11	
28	340	1.03131	-0.000818397	7.35611e-06	-2.83766e-08	3.84372e-11	
29	300	1.03876	-0.00119062	1.2399e-05	-5.537e-08	8.68075e-11	
30	500	1.03343	-0.000614649	3.73376e-06	-9.88894e-09	9.20213e-12	
31	420	1.03937	-0.000838265	5.78087e-06	-1.74836e-08	1.88107e-11	
32	340	1.037	-0.000826231	6.05382e-06	-2.0121e-08	2.44336e-11	
33	540	1.05606	-0.000876115	4.60332e-06	-1.05408e-08	8.60197e-12	
34	460	1.05532	-0.000967684	5.46386e-06	-1.33739e-08	1.15603e-11	
35	420	1.04531	-0.000942821	6.44008e-06	-1.95446e-08	2.09839e-11	
36	580	1.05951	-0.000972624	5.42618e-06	-1.26777e-08	1.01993e-11	
37	700	1.0534	-0.000658816	2.76461e-06	-5.21141e-09	3.48104e-12	
38	580	1.04846	-0.000770662	4.05254e-06	-9.07217e-09	7.14952e-12	
39	820	1.04241	-0.000514064	1.91084e-06	-2.95451e-09	1.60032e-12	
40	860	1.05057	-0.000480577	1.35662e-06	-1.66877e-09	7.40754e-13	
41	580	1.04925	-0.00087534	5.02118e-06	-1.18194e-08	9.48864e-12	
42	780	1.05879	-0.000515272	1.27976e-06	-1.80784e-09	1.08936e-12	
43	860	1.05998	-0.000618703	1.92439e-06	-2.75125e-09	1.42961e-12	
44	580	1.05216	-0.000939494	5.48513e-06	-1.31596e-08	1.08075e-11	
